Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Score	total Head
?e  <biolink:transcribed_from>  ?j  ?e  <biolink:translates_to>  ?a  ?j  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.011013129	1.0	1.0	557	557	557	?a	1.011013129	0.011013129
?e  <biolink:affects_transport_of>  ?a  ?e  <biolink:close_match>  ?j  ?j  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.014255773	0.994482759	1.0	721	725	721	?a	1.008738532	0.025268902
?e  <biolink:transcribed_from>  ?a  ?e  <biolink:translates_to>  ?i  ?i  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.011013129	0.913114754	0.98409894	557	610	566	?a	0.9241278829999999	0.036282031
?i  <biolink:close_match>  ?e  ?e  <biolink:contributes_to>  ?b  ?a  <biolink:treats>  ?i   => ?a  <biolink:treats>  ?b	0.050003954	0.775053632	0.775053632	2529	3263	3263	?a	0.825057586	0.08628598500000001
?b  <biolink:affects>  ?h  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.010854951	0.792207792	0.792207792	549	693	693	?a	0.803062743	0.09714093600000001
?h  <biolink:affects>  ?b  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.010340873	0.790030211	0.790030211	523	662	662	?a	0.800371084	0.10748180900000001
?a  <biolink:prevents>  ?b  ?b  <biolink:subclass_of>  ?h  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.010874723	0.787965616	0.787965616	550	698	698	?a	0.7988403390000001	0.11835653200000001
?j  <biolink:close_match>  ?e  ?e  <biolink:has_input>  ?b  ?a  <biolink:treats>  ?j   => ?a  <biolink:treats>  ?b	0.026890225	0.770538244	0.770538244	1360	1765	1765	?a	0.7974284690000001	0.145246757
?h  <biolink:causes>  ?b  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.012377412	0.776674938	0.776674938	626	806	806	?a	0.78905235	0.157624169
?b  <biolink:causes>  ?h  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.014018507	0.769815418	0.769815418	709	921	921	?a	0.7838339249999999	0.171642676
?a  <biolink:disrupts>  ?h  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.010637457	0.753501401	0.753501401	538	714	714	?a	0.7641388579999999	0.18228013299999998
?h  <biolink:coexists_with>  ?b  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.016747074	0.74691358	0.74691358	847	1134	1134	?a	0.7636606539999999	0.19902720699999998
?a  <biolink:causes>  ?h  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.012594907	0.749411765	0.749411765	637	850	850	?a	0.7620066719999999	0.21162211399999997
?a  <biolink:predisposes>  ?h  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.010360645	0.742209632	0.742209632	524	706	706	?a	0.752570277	0.22198275899999997
?e  <biolink:close_match>  ?j  ?e  <biolink:has_input>  ?a  ?j  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.055085416	0.697371715	0.920383218	2786	3995	3027	?a	0.7524571309999999	0.27706817499999997
?b  <biolink:coexists_with>  ?h  ?a  <biolink:prevents>  ?b  ?a  <biolink:treats>  ?h   => ?a  <biolink:treats>  ?b	0.017360013	0.734113712	0.734113712	878	1196	1196	?a	0.751473725	0.294428188
?a  <biolink:prevents>  ?b  ?a  <biolink:subclass_of>  ?h  ?h  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.012278551	0.717090069	0.737529691	621	866	842	?a	0.72936862	0.306706739
?e  <biolink:close_match>  ?j  ?e  <biolink:has_output>  ?a  ?j  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.015007118	0.705390335	0.893992933	759	1076	849	?a	0.720397453	0.321713857
?a  <biolink:coexists_with>  ?h  ?a  <biolink:prevents>  ?b  ?h  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.011744701	0.70295858	0.73880597	594	845	804	?a	0.714703281	0.333458558
?g  <biolink:physically_interacts_with>  ?a  ?a  <biolink:prevents>  ?b  ?g  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.017676368	0.67268623	0.711783439	894	1329	1256	?a	0.6903625980000001	0.351134926
?a  <biolink:prevents>  ?b  ?h  <biolink:prevents>  ?b  ?a  <biolink:subclass_of>  ?h   => ?a  <biolink:treats>  ?b	0.01075609	0.677459527	0.705577173	544	803	771	?a	0.688215617	0.361891016
?a  <biolink:physically_interacts_with>  ?g  ?a  <biolink:prevents>  ?b  ?g  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.017913635	0.669128508	0.703962704	906	1354	1287	?a	0.687042143	0.379804651
?b  <biolink:manifestation_of>  ?h  ?a  <biolink:prevents>  ?b  ?b  <biolink:subclass_of>  ?h   => ?a  <biolink:treats>  ?b	0.011250395	0.675771971	0.727621483	569	842	782	?a	0.687022366	0.391055046
?h  <biolink:causes>  ?b  ?a  <biolink:prevents>  ?b  ?b  <biolink:subclass_of>  ?h   => ?a  <biolink:treats>  ?b	0.010143151	0.675889328	0.74132948	513	759	692	?a	0.686032479	0.40119819700000003
