Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 27 s using 10275 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000277898	0.074074074	0.127877238	100	1350	782	?a
?b  metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000116717	0.066772655	0.094594595	42	629	444	?a
?b  increased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000066696	0.051835853	0.067039106	24	463	358	?a
?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000058359	0.156716418	0.238636364	21	134	88	?a
?b  decreased_transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000044464	0.014388489	0.072072072	16	1112	222	?a
?b  biolink:decreases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000578028	0.061702759	0.075389634	208	3371	2759	?a
?b  biolink:increases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000575249	0.070336391	0.084697218	207	2943	2444	?a
?b  biolink:affects_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.00070864	0.046823357	0.053503987	255	5446	4766	?a
?b  increased_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000036127	0.001331149	0.032828283	13	9766	396	?a
?b  transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000025011	0.0215311	0.028938907	9	418	311	?a
?b  increased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000030569	0.024017467	0.052132701	11	458	211	?a
?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000069475	0.000417837	0.005761696	25	59832	4339	?a
?b  decreased_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.001041124	0.047619048	6	5763	126	?a
?b  decreased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.078947368	0.12244898	6	76	49	?a
?b  activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	0.005665722	0.173913043	4	706	23	?a
?b  increased_degradation_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	0.002266289	0.088888889	4	1765	45	?a
?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	0.042553191	0.059701493	4	94	67	?a
?b  uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.044776119	0.090909091	3	67	33	?a
?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.001762632	0.125	3	1702	24	?a
?b  decreased_secretion_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.003157895	0.026315789	3	950	114	?a
?b  increased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000033348	0.000239645	0.003043368	12	50074	3943	?a
?b  increased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.000690608	0.045454545	2	2896	44	?a
?b  increased_molecular_modification_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.009803922	0.095238095	2	204	21	?a
?b  increased_expression_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.000214869	0.010810811	2	9308	185	?a
?b  increased_secretion_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.000424088	0.003921569	1	2358	255	?a
?b  secretion_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.006711409	0.007194245	1	149	139	?a
?b  decreased_degradation_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.003508772	0.111111111	1	285	9	?a
?b  synthesis_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.011764706	0.021276596	1	85	47	?a
?b  decreased_molecular_modification_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.010638298	0.25	1	94	4	?a
?b  biolink:related_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	0.000023177	0.000778513	4	172586	5138	?a
?b  abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.001278332	0.001021326	0.103417266	460	450395	4448	?a
?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000127833	0.000112386	0.018992568	46	409303	2422	?a
?a  biolink:binds  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.010549016	0.242633429	0.425322129	3796	15645	8925	?a
?b  activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.001289448	0.001028599	0.103779915	464	451099	4471	?a
?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000038906	0.000038296	0.003458498	14	365569	4048	?a
?b  decreased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000022232	0.000022232	0.002037697	8	359844	3926	?a
?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.002703949	0.016262201	0.046452783	973	59832	20946	?a
?a  activity_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000516891	0.263456091	0.58125	186	706	320	?a
?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000336257	0.071092832	0.088256747	121	1702	1371	?a
?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.002670602	0.019191596	0.081268499	961	50074	11825	?a
?a  decreased_expression_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000105601	0.006681906	0.006772411	38	5687	5611	?a
?a  decreased_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000105601	0.006593788	0.006762769	38	5763	5619	?a
?a  downregulated_biolink:regulates  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000097264	0.000267468	0.001768123	35	130857	19795	?a
?a  biolink:interacts_with  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.004515846	0.000770915	0.329147255	1625	2107885	4937	?a
?a  upregulated_biolink:regulates  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.00013617	0.000376015	0.002780773	49	130314	17621	?a
?a  increased_expression_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000041685	0.001611517	0.001657275	15	9308	9051	?a
?a  increased_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000041685	0.001535941	0.001643295	15	9766	9128	?a
?a  biolink:decreases_response_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000038906	0.00415307	0.045307443	14	3371	309	?a
?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000033348	0.004143646	0.004658385	12	2896	2576	?a
?a  increased_degradation_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000022232	0.004532578	0.006639004	8	1765	1205	?a
?a  biolink:increases_response_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000019453	0.002378525	0.027777778	7	2943	252	?a
?a  decreased_molecular_modification_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000019453	0.074468085	0.077777778	7	94	90	?a
?a  increased_localization_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	0.009433962	0.01179941	4	424	339	?a
?a  decreased_degradation_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.010526316	0.013452915	3	285	223	?a
?a  decreased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.001798561	0.002503129	2	1112	799	?a
?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.003420927	0.003007552	0.116362605	1231	409303	10579	?a
?a  decreased_localization_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.005586592	0.006944444	1	179	144	?a
?a  decreased_secretion_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.002105263	0.002590674	2	950	772	?a
?a  increased_mutation_rate_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.001256281	0.002242152	1	796	446	?a
?a  increased_metabolic_processing_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.000740741	0.002304147	1	1350	434	?a
?a  biolink:affects_response_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.001101726	0.022641509	6	5446	265	?a
?a  increased_secretion_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.000424088	0.000639386	1	2358	1564	?a
?a  biolink:directly_physically_interacts_with  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.009490224	0.004624783	0.321411765	3415	738413	10625	?a
?b  biolink:directly_physically_interacts_with  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.000004063	0.001809409	3	738413	1658	?a
?a  biolink:related_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.00005558	0.000115884	0.004211413	20	172586	4749	?a
?a  activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000516891	0.000412326	0.290625	186	451099	640	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	1	0.984339482	0.984727372	359844	365569	365425	?a
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000016674	0.12244898	0.133333333	6	49	45	?a
?a  decreased_abundance_biolink:affects  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.4	0.4	2	5	5	?a
?a  increased_expression_biolink:affects  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.222222222	0.222222222	2	9	9	?a
?a  increased_abundance_biolink:affects  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.222222222	0.222222222	2	9	9	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.333333333	0.333333333	1	3	3	?a
?a  biolink:interacts_with  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.333333333	0.333333333	1	3	3	?a
?a  biolink:binds  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  biolink:increases_response_to  ?a  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000044464	0.181818182	0.205128205	16	88	78	?a
?b  biolink:affects_response_to  ?a  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000030569	0.20754717	0.224489796	11	53	49	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.125	0.166666667	3	24	18	?a
?b  abundance_biolink:affects  ?a  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.125	0.166666667	3	24	18	?a
?b  increased_metabolic_processing_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000069475	0.168918919	0.19379845	25	148	129	?a
?b  biolink:increases_response_to  ?a  ?b  metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.117647059	0.166666667	2	17	12	?a
?a  increased_transport_biolink:affects  ?b  ?b  increased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000022232	0.210526316	0.210526316	8	38	38	?a
?a  biolink:binds  ?b  ?b  increased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
