Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 26 s using 10156 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000123096	0.07154213	0.101123596	45	629	445	?a
?b  increased_uptake_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000073857	0.058315335	0.075418994	27	463	358	?a
?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000281753	0.076296296	0.129722922	103	1350	794	?a
?b  biolink:increases_response_to  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000700278	0.086986069	0.102976669	256	2943	2486	?a
?b  biolink:decreases_response_to  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000760458	0.08246811	0.098686546	278	3371	2817	?a
?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000057445	0.156716418	0.235955056	21	134	89	?a
?b  decreased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000049238	0.01618705	0.055727554	18	1112	323	?a
?b  biolink:affects_response_to  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.0008562	0.057473375	0.065126925	313	5446	4806	?a
?b  increased_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000038296	0.001433545	0.016949153	14	9766	826	?a
?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000073857	0.000451264	0.003630008	27	59832	7438	?a
?b  increased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000032826	0.026200873	0.056872038	12	458	211	?a
