Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 24 s using 10357 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000798818	0.02962963	0.056818182	40	1350	704	?a
?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.003015537	0.04479383	0.056133829	151	3371	2690	?a
?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.004093941	0.069656813	0.086134454	205	2943	2380	?a
?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00497264	0.045721631	0.052256034	249	5446	4765	?a
?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000259616	0.020667727	0.032338308	13	629	402	?a
?b  abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.004173823	0.000464037	0.053548552	209	450395	3903	?a
?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.017278618	0.024096386	8	463	332	?a
?b  activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.004253705	0.00047218	0.054184686	213	451099	3931	?a
?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.00043935	0.003810844	22	50074	5773	?a
?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000259616	0.000035561	0.001360687	13	365569	9554	?a
?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.052238806	0.073684211	7	134	95	?a
?b  increased_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.000716772	0.014583333	7	9766	480	?a
?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000718936	0.000087954	0.010092515	36	409303	3567	?a
?b  increased_synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.010917031	0.022727273	5	458	220	?a
?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000579143	0.00048469	0.004637774	29	59832	6253	?a
?b  activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.005665722	0.142857143	4	706	28	?a
?b  increased_degradation_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.002832861	0.15625	5	1765	32	?a
?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.023529412	0.042553191	2	85	47	?a
?b  transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.004784689	0.006711409	2	418	298	?a
?b  increased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.002544529	0.031746032	6	2358	189	?a
?b  increased_expression_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.000214869	0.007692308	2	9308	260	?a
?b  decreased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.002105263	0.035087719	2	950	57	?a
?b  degradation_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.2	0.25	1	5	4	?a
?b  increased_molecular_modification_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.004901961	0.047619048	1	204	21	?a
?b  biolink:directly_physically_interacts_with  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000239645	0.000016251	0.003827751	12	738413	3135	?a
?b  decreased_uptake_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.010638298	0.014925373	1	94	67	?a
?b  increased_localization_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.002358491	0.1	1	424	10	?a
?b  decreased_synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.013157895	0.021276596	1	76	47	?a
