Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 37 s using 10313 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00081896	0.036296296	0.065683646	49	1350	746	?a
?b  biolink:affects_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.006334403	0.069592361	0.078794179	379	5446	4810	?a
?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.004328787	0.076831801	0.092566119	259	3371	2798	?a
?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.004947185	0.100577642	0.120619397	296	2943	2454	?a
?b  activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.003743816	0.000496565	0.056651492	224	451099	3954	?a
?b  abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.003660249	0.00048624	0.055995909	219	450395	3911	?a
?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.001671346	0.000244318	0.007225434	100	409303	13840	?a
?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000233989	0.104477612	0.141414141	14	134	99	?a
?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000300842	0.028616852	0.044776119	18	629	402	?a
?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000451264	0.000073857	0.000540173	27	365569	49984	?a
?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000417837	0.000069475	0.000504877	25	359844	49517	?a
?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000701966	0.000701966	0.00439055	42	59832	9566	?a
?b  transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000100281	0.014354067	0.020134228	6	418	298	?a
?b  decreased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000133708	0.007194245	0.017167382	8	1112	466	?a
?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000217275	0.028077754	0.038575668	13	463	337	?a
?b  increased_secretion_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000167135	0.004240882	0.011695906	10	2358	855	?a
?b  activity_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.007082153	0.11627907	5	706	43	?a
?b  increased_degradation_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.002832861	0.06097561	5	1765	82	?a
?b  increased_expression_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.000537172	0.004734848	5	9308	1056	?a
?b  increased_synthesis_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000133708	0.017467249	0.036363636	8	458	220	?a
?b  decreased_secretion_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000066854	0.004210526	0.011173184	4	950	358	?a
