Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-fixed.txt
  Finished robokop-biolink3-fixed.txt, still running: 0
Loaded 18138526 facts in 1 min, 35 s using 10032 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  biolink:treats  ?b   => ?a  biolink:contraindicated_for  ?b	0.015696929	0.009167842	0.018075954	416	45376	23014	?a
?a  biolink:causes  ?b   => ?a  biolink:contraindicated_for  ?b	0.159120066	0.030438643	0.037518461	4217	138541	112398	?a
?a  biolink:contributes_to  ?b   => ?a  biolink:contraindicated_for  ?b	0.064221568	0.026687155	0.06218033	1702	63776	27372	?a
?a  biolink:ameliorates  ?b   => ?a  biolink:contraindicated_for  ?b	0.00905592	0.007166746	0.017867778	240	33488	13432	?a
?a  biolink:correlated_with  ?b   => ?a  biolink:contraindicated_for  ?b	0.000075466	0.000022897	0.003236246	2	87348	618	?a
?a  biolink:has_adverse_event  ?b   => ?a  biolink:contraindicated_for  ?b	0.134216286	0.020644225	0.026577105	3557	172300	133837	?a
?b  biolink:affects  ?f  ?f  biolink:increases_response_to  ?a   => ?a  biolink:contraindicated_for  ?b	0.000037733	0.111111111	1	1	9	1	?a
?b  biolink:affects  ?f  ?f  decreased_degradation_biolink:affects  ?a   => ?a  biolink:contraindicated_for  ?b	0.000037733	0.055555556	1	1	18	1	?a
?b  biolink:affects  ?f  ?f  biolink:decreases_response_to  ?a   => ?a  biolink:contraindicated_for  ?b	0.000075466	0.142857143	0.666666667	2	14	3	?a
?b  biolink:affects  ?f  ?f  biolink:affects_response_to  ?a   => ?a  biolink:contraindicated_for  ?b	0.000075466	0.095238095	0.25	2	21	8	?a
?b  biolink:affects  ?f  ?f  biolink:similar_to  ?a   => ?a  biolink:contraindicated_for  ?b	0.000113199	0.004098361	0.015706806	3	732	191	?a
?b  biolink:affects  ?f  ?a  increased_transport_biolink:affects  ?f   => ?a  biolink:contraindicated_for  ?b	0.000075466	0.003690037	0.142857143	2	542	14	?a
?b  biolink:affects  ?f  ?a  decreased_activity_biolink:affects  ?f   => ?a  biolink:contraindicated_for  ?b	0.000037733	0.002590674	0.1	1	386	10	?a
?b  biolink:affects  ?f  ?a  biolink:directly_physically_interacts_with  ?f   => ?a  biolink:contraindicated_for  ?b	0.000075466	0.008510638	0.133333333	2	235	15	?a
?b  biolink:affects  ?f  ?a  biolink:similar_to  ?f   => ?a  biolink:contraindicated_for  ?b	0.000037733	0.001926782	0.0125	1	519	80	?a
?a  biolink:causes  ?b  ?a  biolink:treats  ?b   => ?a  biolink:contraindicated_for  ?b	0.006339144	0.068264933	0.073781291	168	2461	2277	?a
?a  biolink:has_adverse_event  ?b  ?a  biolink:treats  ?b   => ?a  biolink:contraindicated_for  ?b	0.006980605	0.041573034	0.046705377	185	4450	3961	?a
?a  biolink:ameliorates  ?b  ?a  biolink:causes  ?b   => ?a  biolink:contraindicated_for  ?b	0.002452645	0.047829286	0.052845528	65	1359	1230	?a
?a  biolink:ameliorates  ?b  ?a  biolink:contributes_to  ?b   => ?a  biolink:contraindicated_for  ?b	0.000113199	0.057692308	0.1	3	52	30	?a
?a  biolink:contributes_to  ?b  ?a  biolink:has_adverse_event  ?b   => ?a  biolink:contraindicated_for  ?b	0.028111086	0.115845125	0.126036204	745	6431	5911	?a
?a  biolink:causes  ?b  ?a  biolink:contributes_to  ?b   => ?a  biolink:contraindicated_for  ?b	0.035431288	0.111626248	0.122921848	939	8412	7639	?a
?a  biolink:causes  ?b  ?a  biolink:has_adverse_event  ?b   => ?a  biolink:contraindicated_for  ?b	0.065278092	0.071876688	0.075963818	1730	24069	22774	?a
?a  biolink:contributes_to  ?b  ?a  biolink:correlated_with  ?b   => ?a  biolink:contraindicated_for  ?b	0.000037733	0.052631579	0.125	1	19	8	?a
?b  biolink:associated_with  ?f  ?a  biolink:contraindicated_for  ?f   => ?a  biolink:contraindicated_for  ?b	0.041544034	0.071124031	0.071124031	1101	15480	15480	?a
?a  biolink:ameliorates  ?b  ?a  biolink:has_adverse_event  ?b   => ?a  biolink:contraindicated_for  ?b	0.003245038	0.031035727	0.034538153	86	2771	2490	?a
?b  biolink:associated_with  ?f  ?a  biolink:treats  ?f   => ?a  biolink:contraindicated_for  ?b	0.002792242	0.003050289	0.006361214	74	24260	11633	?a
?a  biolink:contraindicated_for  ?f  ?b  biolink:similar_to  ?f   => ?a  biolink:contraindicated_for  ?b	0.011131235	0.051672797	0.051672797	295	5709	5709	?a
?a  biolink:ameliorates  ?f  ?b  biolink:associated_with  ?f   => ?a  biolink:contraindicated_for  ?b	0.001584786	0.002263297	0.006263048	42	18557	6706	?a
?b  biolink:similar_to  ?f  ?a  biolink:treats  ?f   => ?a  biolink:contraindicated_for  ?b	0.006339144	0.013814653	0.031360836	168	12161	5357	?a
