Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-fixed.txt
  Finished robokop-biolink3-fixed.txt, still running: 0
Loaded 18138526 facts in 1 min, 34 s using 10124 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000798818	0.02962963	0.056818182	40	1350	704	?a
?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000259616	0.020667727	0.032338308	13	629	402	?a
?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.003015537	0.04479383	0.056133829	151	3371	2690	?a
?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.004093941	0.069656813	0.086134454	205	2943	2380	?a
?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.017278618	0.024096386	8	463	332	?a
?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.052238806	0.073684211	7	134	95	?a
?b  increased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.002544529	0.031746032	6	2358	189	?a
?b  increased_degradation_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.002832861	0.15625	5	1765	32	?a
?b  activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.005665722	0.142857143	4	706	28	?a
?b  increased_synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.010917031	0.022727273	5	458	220	?a
?b  decreased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.002105263	0.035087719	2	950	57	?a
?b  increased_expression_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.000214869	0.007692308	2	9308	260	?a
?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00497264	0.045721631	0.052256034	249	5446	4765	?a
?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.023529412	0.042553191	2	85	47	?a
?b  abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.004133882	0.000459682	0.053668654	207	450311	3857	?a
?b  secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.006711409	0.006993007	1	149	143	?a
?b  increased_molecular_modification_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.004901961	0.047619048	1	204	21	?a
?b  decreased_uptake_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.010638298	0.014925373	1	94	67	?a
?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.00043935	0.003810844	22	50074	5773	?a
?b  increased_molecular_interaction_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.000345304	0.014285714	1	2896	70	?a
?b  increased_localization_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.002358491	0.1	1	424	10	?a
?b  degradation_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.2	0.25	1	5	4	?a
?b  transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.004950495	0.008	1	202	125	?a
?b  decreased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.014705882	0.029411765	1	68	34	?a
?b  decreased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000239645	0.000033348	0.001274427	12	359844	9416	?a
?b  decreased_synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.013157895	0.021276596	1	76	47	?a
?b  biolink:directly_physically_interacts_with  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000239645	0.000016251	0.003827751	12	738413	3135	?a
?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.000054123	0.007222587	22	406483	3046	?a
?a  activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.002296601	0.162889518	0.454545455	115	706	253	?a
?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.001517754	0.044653349	0.058015267	76	1702	1310	?a
?a  biolink:binds  ?b   => ?a  increased_activity_biolink:affects  ?b	0.007548828	0.024161074	0.135629709	378	15645	2787	?a
?b  biolink:related_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.000005794	0.00016276	1	172586	6144	?a
?a  biolink:increases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000499261	0.008494733	0.074850299	25	2943	334	?a
?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.007596685	0.00818148	22	2896	2689	?a
?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000279586	0.002461755	0.002485354	14	5687	5633	?a
?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.026360986	0.00062622	0.298237686	1320	2107885	4426	?a
?a  biolink:affects_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000259616	0.002387073	0.046931408	13	5446	277	?a
?a  biolink:decreases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000179734	0.002669831	0.032846715	9	3371	274	?a
?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.019191596	0.002670602	0.048948199	961	359844	19633	?a
?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.010526316	0.014778325	3	285	203	?a
